# time_ns temp_K pressure_bar volume_A3 kinetic potential total
1.520000000000000018e+00 2.894671999999999912e+02 3.406078999999999724e+02 2.633132909000000218e+05 1.793499009999999907e+04 -4.683145330000000104e+04 -2.889646319999999832e+04
1.540000000000000036e+00 2.886802000000000135e+02 -4.014509999999999934e+01 2.638033139000000083e+05 1.788622669999999925e+04 -4.680798189999999886e+04 -2.892175519999999960e+04
1.559999999999999831e+00 2.875971999999999866e+02 -3.490697999999999865e+02 2.632974740999999922e+05 1.781912759999999980e+04 -4.679579639999999927e+04 -2.897666879999999946e+04
1.579999999999999849e+00 2.905036000000000058e+02 -1.972820000000000107e+02 2.639627758000000031e+05 1.799920760000000155e+04 -4.666809520000000339e+04 -2.866888759999999820e+04
1.599999999999999867e+00 2.897941000000000145e+02 -1.188359999999999950e+01 2.646418818999999785e+05 1.795524729999999909e+04 -4.666059309999999823e+04 -2.870534570000000167e+04
1.619999999999999885e+00 2.897370999999999981e+02 3.789033000000000015e+02 2.622720852999999770e+05 1.795171270000000004e+04 -4.670647069999999803e+04 -2.875475800000000163e+04
1.639999999999999902e+00 2.894270999999999958e+02 2.466270000000000095e+02 2.630719560000000056e+05 1.793250769999999829e+04 -4.675668379999999888e+04 -2.882417610000000059e+04
1.659999999999999920e+00 2.871766000000000076e+02 -9.285030000000000427e+01 2.649867187999999733e+05 1.779306810000000041e+04 -4.673038190000000031e+04 -2.893731379999999990e+04
1.679999999999999938e+00 2.922271000000000072e+02 1.285100999999999942e+02 2.647484540999999736e+05 1.810598839999999836e+04 -4.683059689999999682e+04 -2.872460840000000098e+04
1.699999999999999956e+00 2.926302999999999770e+02 -1.135367999999999995e+02 2.645884906000000192e+05 1.813097450000000026e+04 -4.683661520000000019e+04 -2.870564069999999992e+04
1.719999999999999973e+00 2.884671999999999912e+02 2.390749999999999886e+02 2.640553800000000047e+05 1.787303419999999824e+04 -4.673811230000000069e+04 -2.886507809999999881e+04
1.739999999999999991e+00 2.894166000000000167e+02 -9.097520000000000095e+01 2.647753356999999960e+05 1.793185740000000078e+04 -4.656776559999999881e+04 -2.863590820000000167e+04
1.760000000000000009e+00 2.878430999999999926e+02 -8.930799999999999628e+00 2.648633134999999893e+05 1.783436460000000079e+04 -4.669020840000000317e+04 -2.885584379999999874e+04
1.780000000000000027e+00 2.879282999999999788e+02 1.579746000000000095e+02 2.641784459999999963e+05 1.783964310000000114e+04 -4.671563410000000295e+04 -2.887599109999999928e+04
