dt_ps,VACF
6.080000000000000000e+03,-5.332653103490360078e-03
6.100000000000000000e+03,-3.388513165568398950e-03
6.120000000000000000e+03,4.116380851067504010e-03
6.140000000000000000e+03,1.502553828774551596e-03
6.160000000000000000e+03,-4.276942669721783830e-03
6.180000000000000000e+03,-1.754525184381633927e-03
6.200000000000000000e+03,-1.146928014063691801e-03
6.220000000000000000e+03,1.209867802865937899e-03
6.240000000000000000e+03,2.474625289812308528e-03
6.260000000000000000e+03,-1.537294991257016441e-04
6.280000000000000000e+03,5.876029958773246187e-03
6.300000000000000000e+03,2.111552091673628371e-03
6.320000000000000000e+03,-4.277281658659171440e-03
6.340000000000000000e+03,-2.090428014079654187e-03
6.360000000000000000e+03,-3.829245072849032146e-03
6.380000000000000000e+03,1.605405191787856608e-04
6.400000000000000000e+03,3.758929071604075797e-03
6.420000000000000000e+03,-3.272398045110871457e-04
6.440000000000000000e+03,2.949969404762421373e-04
6.460000000000000000e+03,7.606865107063102505e-04
6.480000000000000000e+03,7.018920678734060815e-04
6.500000000000000000e+03,-2.498649972346288098e-05
6.520000000000000000e+03,-2.200911118205241875e-03
6.540000000000000000e+03,6.712008961098322232e-04
6.560000000000000000e+03,1.466130823670077623e-03
6.580000000000000000e+03,5.833940853366973356e-04
6.600000000000000000e+03,-5.055004265669467423e-03
6.620000000000000000e+03,-6.118931382306067208e-03
6.640000000000000000e+03,6.800921433323993577e-03
6.660000000000000000e+03,8.799635914958850100e-03
6.680000000000000000e+03,-1.803940455446415795e-03
6.700000000000000000e+03,-8.983976864169747334e-03
6.720000000000000000e+03,-4.009255944724000181e-03
6.740000000000000000e+03,7.828981859786154213e-03
6.760000000000000000e+03,6.301312320006921021e-03
6.780000000000000000e+03,-3.686761899377494125e-03
6.800000000000000000e+03,-5.933102162429572390e-03
6.820000000000000000e+03,3.554707905222520255e-04
6.840000000000000000e+03,3.103789355862832285e-03
6.860000000000000000e+03,-7.880151973394211541e-04
6.880000000000000000e+03,-2.724789314236692470e-04
6.900000000000000000e+03,1.630903082550513470e-03
6.920000000000000000e+03,-7.113879977311293344e-04
6.940000000000000000e+03,-4.592871549302392740e-04
6.960000000000000000e+03,-1.315144962015003761e-03
6.980000000000000000e+03,-1.037252578874036171e-03
7.000000000000000000e+03,3.592345804643242812e-04
7.020000000000000000e+03,-4.006600020634995367e-03
7.040000000000000000e+03,2.002533004662341177e-03
7.060000000000000000e+03,9.670808195312676978e-03
7.080000000000000000e+03,3.115021395987810186e-03
7.100000000000000000e+03,-4.117507772836130446e-03
7.120000000000000000e+03,-3.863731464042768210e-03
7.140000000000000000e+03,-2.580483562388050794e-03
7.160000000000000000e+03,-1.575965942263707733e-03
7.180000000000000000e+03,-7.315598741484001023e-05
7.200000000000000000e+03,6.557677328183035689e-04
7.220000000000000000e+03,5.492949800044897093e-03
7.240000000000000000e+03,2.931747484970692683e-03
7.260000000000000000e+03,-6.940527147933169341e-03
7.280000000000000000e+03,-4.539691533779881619e-03
7.300000000000000000e+03,6.171004221442174392e-03
7.320000000000000000e+03,3.711097788452972840e-04
7.340000000000000000e+03,-7.264199299804284526e-03
7.360000000000000000e+03,7.180006750849469467e-03
7.380000000000000000e+03,7.032255974451920473e-03
7.400000000000000000e+03,-7.335888262852981179e-03
7.420000000000000000e+03,-3.837936800767414308e-03
7.440000000000000000e+03,3.568356730128517500e-03
7.460000000000000000e+03,5.310483171411549191e-04
7.480000000000000000e+03,-5.529945458568620228e-03
7.500000000000000000e+03,4.848459507164743203e-04
7.520000000000000000e+03,4.538912884312913676e-03
7.540000000000000000e+03,3.434504634625358023e-03
7.560000000000000000e+03,4.763845410379441425e-03
7.580000000000000000e+03,-5.160235259484878025e-03
7.600000000000000000e+03,-1.105123200500837156e-02
7.620000000000000000e+03,-4.393257162913929113e-03
7.640000000000000000e+03,7.298846363661329675e-03
7.660000000000000000e+03,9.364383784709891245e-03
7.680000000000000000e+03,-1.159760869149705897e-03
7.700000000000000000e+03,1.668042654382426453e-04
