dt_ps,MSD_A2,SEM
3.220000000000000000e+03,1.009237060057607096e+03,2.563643088646868851e+00
3.240000000000000000e+03,1.008822946846997638e+03,2.567607007887117376e+00
3.260000000000000000e+03,1.009503749616986852e+03,2.576010389668033085e+00
3.280000000000000000e+03,1.011499683866986743e+03,2.581863801224563826e+00
3.300000000000000000e+03,1.012509708765619507e+03,2.584660828182653969e+00
3.320000000000000000e+03,1.008359748786146156e+03,2.581106032722992882e+00
3.340000000000000000e+03,1.014664473857200846e+03,2.586988353499863447e+00
3.360000000000000000e+03,1.014879682490250161e+03,2.604133568699558587e+00
3.380000000000000000e+03,1.013892493221707014e+03,2.599692285699549021e+00
3.400000000000000000e+03,1.010675406912222797e+03,2.598427444422408694e+00
3.420000000000000000e+03,1.013884024944455405e+03,2.608779530207035791e+00
3.440000000000000000e+03,1.022841392266166054e+03,2.623764678940207595e+00
3.460000000000000000e+03,1.018564476201956950e+03,2.613838386367914435e+00
3.480000000000000000e+03,1.015667766928440187e+03,2.613228207523391244e+00
3.500000000000000000e+03,1.018017748686350956e+03,2.625036076236380467e+00
3.520000000000000000e+03,1.015978054338220431e+03,2.625554451676751722e+00
3.540000000000000000e+03,1.018361963883947737e+03,2.615346978785096699e+00
3.560000000000000000e+03,1.018248604507255209e+03,2.634014923547467024e+00
3.580000000000000000e+03,1.018732527010621084e+03,2.640931388038684879e+00
3.600000000000000000e+03,1.018376125617260300e+03,2.645539407959316414e+00
3.620000000000000000e+03,1.017955175958764812e+03,2.652429220391717024e+00
3.640000000000000000e+03,1.016413454450792415e+03,2.650479491839564439e+00
3.660000000000000000e+03,1.015676269737160737e+03,2.654940966004352365e+00
3.680000000000000000e+03,1.015316972687546695e+03,2.656744989615473340e+00
3.700000000000000000e+03,1.013971103210187948e+03,2.659080148007681998e+00
3.720000000000000000e+03,1.016894162011024832e+03,2.663967418564362699e+00
3.740000000000000000e+03,1.018050009113651754e+03,2.678027539147231018e+00
3.760000000000000000e+03,1.018707914046919996e+03,2.681819705899971762e+00
3.780000000000000000e+03,1.015922011780137723e+03,2.671867246290265285e+00
3.800000000000000000e+03,1.012871691965639684e+03,2.689529914008004230e+00
