# time_ns temp_K pressure_bar volume_A3 kinetic potential total
1.739999999999999991e+00 2.069758999999999958e+02 -5.055480000000000018e+01 2.518721876000000047e+05 1.282394089999999960e+04 -5.517038990000000194e+04 -4.234644900000000052e+04
1.760000000000000009e+00 2.096122000000000014e+02 -2.119874000000000080e+02 2.527312931999999855e+05 1.298728340000000026e+04 -5.529968690000000061e+04 -4.231240350000000035e+04
1.780000000000000027e+00 2.086610000000000014e+02 -1.876149000000000058e+02 2.517349377000000095e+05 1.292834670000000006e+04 -5.527089089999999851e+04 -4.234254419999999664e+04
1.799999999999999822e+00 2.098323000000000036e+02 -3.633419999999999845e+02 2.523557897999999986e+05 1.300092339999999967e+04 -5.520161860000000161e+04 -4.220069509999999718e+04
1.819999999999999840e+00 2.092109000000000094e+02 3.497090000000000032e+01 2.522914713000000047e+05 1.296241970000000038e+04 -5.525316419999999925e+04 -4.229074450000000070e+04
1.839999999999999858e+00 2.083548000000000116e+02 -2.418014000000000010e+02 2.517159884000000020e+05 1.290937949999999910e+04 -5.526902909999999974e+04 -4.235964959999999701e+04
1.859999999999999876e+00 2.096399000000000115e+02 2.091740000000000066e+01 2.521880576000000001e+05 1.298899920000000020e+04 -5.516296549999999843e+04 -4.217396639999999752e+04
1.879999999999999893e+00 2.097287000000000035e+02 -5.160062000000000353e+02 2.527202924000000057e+05 1.299450339999999960e+04 -5.532685599999999977e+04 -4.233235270000000310e+04
1.899999999999999911e+00 2.075999999999999943e+02 -6.443559999999999377e+01 2.522224933000000019e+05 1.286261110000000008e+04 -5.535887870000000112e+04 -4.249626759999999922e+04
1.919999999999999929e+00 2.099594999999999914e+02 -4.812248000000000161e+02 2.521334793000000063e+05 1.300879989999999998e+04 -5.506562320000000182e+04 -4.205682329999999638e+04
1.939999999999999947e+00 2.079070000000000107e+02 -2.184508999999999901e+02 2.520269045000000042e+05 1.288163160000000062e+04 -5.512116659999999683e+04 -4.223953500000000349e+04
1.959999999999999964e+00 2.093706999999999994e+02 -4.935772000000000048e+02 2.515518724999999977e+05 1.297232439999999951e+04 -5.516605789999999979e+04 -4.219373350000000210e+04
1.979999999999999982e+00 2.095906999999999982e+02 7.683029999999999404e+01 2.522254437000000034e+05 1.298595429999999942e+04 -5.513165479999999661e+04 -4.214570049999999901e+04
2.000000000000000000e+00 2.093014000000000010e+02 2.973290000000000077e+01 2.512109121999999916e+05 1.296802479999999923e+04 -5.523130170000000362e+04 -4.226327689999999711e+04
