dt_ps,C_snapshot
8.220000000000000000e+03,5.110063363353236632e-01
8.240000000000000000e+03,5.124883065684854300e-01
8.260000000000000000e+03,5.093119924115991903e-01
8.280000000000000000e+03,5.145610248917468210e-01
8.300000000000000000e+03,5.129620538691770371e-01
8.320000000000000000e+03,5.094911476010705043e-01
8.340000000000000000e+03,5.108912561992274837e-01
8.360000000000000000e+03,5.127494465608729568e-01
8.380000000000000000e+03,5.121989996153876179e-01
8.400000000000000000e+03,5.147667929536891007e-01
8.420000000000000000e+03,5.147668322998965040e-01
8.440000000000000000e+03,5.152059051977758708e-01
8.460000000000000000e+03,5.140206607477779688e-01
8.480000000000000000e+03,5.166017593697110888e-01
8.500000000000000000e+03,5.111066963831393251e-01
8.520000000000000000e+03,5.161568433364571717e-01
8.540000000000000000e+03,5.150914611963434142e-01
8.560000000000000000e+03,5.171779184968712251e-01
8.580000000000000000e+03,5.152363440219787094e-01
8.600000000000000000e+03,5.123919124155684734e-01
8.620000000000000000e+03,5.164071398592714468e-01
8.640000000000000000e+03,5.151831106623813161e-01
8.660000000000000000e+03,5.176129462298748596e-01
8.680000000000000000e+03,5.203303131949245097e-01
8.700000000000000000e+03,5.224893622077225741e-01
8.720000000000000000e+03,5.215209737082538988e-01
8.740000000000000000e+03,5.183259629343023311e-01
8.760000000000000000e+03,5.214723250055262049e-01
8.780000000000000000e+03,5.215472069950971568e-01
8.800000000000000000e+03,5.248605670003181345e-01
8.820000000000000000e+03,5.196970405194705211e-01
8.840000000000000000e+03,5.147607443800242821e-01
8.860000000000000000e+03,5.182937861242434829e-01
8.880000000000000000e+03,5.205588204414763887e-01
8.900000000000000000e+03,5.195779681075041179e-01
8.920000000000000000e+03,5.190641675648155484e-01
8.940000000000000000e+03,5.175335428266067961e-01
8.960000000000000000e+03,5.109885844600421390e-01
8.980000000000000000e+03,5.169363761260947765e-01
9.000000000000000000e+03,5.154538229403777816e-01
9.020000000000000000e+03,5.124029039567865595e-01
9.040000000000000000e+03,5.080526819772729352e-01
9.060000000000000000e+03,5.120365404172689816e-01
9.080000000000000000e+03,5.145618247345553620e-01
9.100000000000000000e+03,5.155092949140006597e-01
9.120000000000000000e+03,5.139474426593054757e-01
9.140000000000000000e+03,5.115219124668591855e-01
9.160000000000000000e+03,5.195570368501962744e-01
9.180000000000000000e+03,5.178670083197038920e-01
9.200000000000000000e+03,5.146531751948332234e-01
9.220000000000000000e+03,5.192322953662733553e-01
9.240000000000000000e+03,5.204950045336103059e-01
9.260000000000000000e+03,5.114831411223651481e-01
9.280000000000000000e+03,5.241115352157873497e-01
9.300000000000000000e+03,5.222855326218950323e-01
9.320000000000000000e+03,5.174772007925207973e-01
9.340000000000000000e+03,5.117037832070161496e-01
9.360000000000000000e+03,5.161709563838920989e-01
9.380000000000000000e+03,5.138422636848621883e-01
9.400000000000000000e+03,5.200789565589020169e-01
9.420000000000000000e+03,5.179055833705374923e-01
9.440000000000000000e+03,5.177010613796225735e-01
9.460000000000000000e+03,5.197673474647842573e-01
9.480000000000000000e+03,5.260873072343140722e-01
9.500000000000000000e+03,5.203617228187787935e-01
9.520000000000000000e+03,5.172320989525789336e-01
9.540000000000000000e+03,5.200671538619868750e-01
9.560000000000000000e+03,5.145268599043371083e-01
9.580000000000000000e+03,5.121121780799420264e-01
9.600000000000000000e+03,5.001349130807343224e-01
9.620000000000000000e+03,5.078252889757282063e-01
9.640000000000000000e+03,5.050396448750605893e-01
9.660000000000000000e+03,5.139232218110521000e-01
9.680000000000000000e+03,5.094140623345629892e-01
9.700000000000000000e+03,5.113201858214935225e-01
9.720000000000000000e+03,5.167521811697702860e-01
9.740000000000000000e+03,5.021554230648327399e-01
9.760000000000000000e+03,5.016555868458270062e-01
9.780000000000000000e+03,5.073215885259272362e-01
9.800000000000000000e+03,5.015969652906736576e-01
9.820000000000000000e+03,4.886104356068493582e-01
9.840000000000000000e+03,5.001571542290039751e-01
9.860000000000000000e+03,4.970072701649130842e-01
9.880000000000000000e+03,5.080790371783749926e-01
9.900000000000000000e+03,4.919417078979848590e-01
9.920000000000000000e+03,4.879901871982202377e-01
9.940000000000000000e+03,5.002682794854053094e-01
9.960000000000000000e+03,5.376461762406035128e-01
9.980000000000000000e+03,4.968921392251717251e-01
